Sequence;Species1;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size
3474.0;Actenoides bougainvillei;Alcedinidae;Coraciiformes;AVIBASE-97D9D953;4;2;2;0;4;52.0;37.4;14.0;15.9;20.3;129.0;24.4;104.6;18.9;96.5;188.0;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-6.88;-5.41;-6.2;155.29;6382.98
3471.0;Actenoides capucinus;Alcedinidae;Coraciiformes;AVIBASE-4C744DC4;7;3;2;2;3;56.3;42.4;14.1;19.4;22.4;147.7;28.8;121.5;19.2;117.6;150.0;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-5.71;-2.18;-3.88;121.15;64905.92
3478.0;Actenoides concretus;Alcedinidae;Coraciiformes;AVIBASE-4A150CE8;4;2;2;0;4;48.9;37.5;12.8;13.4;14.9;110.8;23.7;87.0;21.5;58.5;73.5;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-6.11;12.95;1.16;108.63;1024430.32
3475.0;Actenoides excelsus;Alcedinidae;Coraciiformes;AVIBASE-53C44102;1;1;0;0;1;49.7;38.0;14.6;17.5;19.2;126.5;22.9;103.6;18.1;90.6;188.0;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-9.87;-9.31;-9.69;160.14;1739.96
3477.0;Actenoides hombroni;Alcedinidae;Coraciiformes;AVIBASE-171AA689;5;2;3;0;4;46.7;36.5;13.4;14.6;17.5;120.4;26.9;92.4;22.5;96.0;117.0;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;5.86;9.83;8.06;125.2;24714.25
3476.0;Actenoides lindsayi;Alcedinidae;Coraciiformes;AVIBASE-0FDF970A;5;2;3;0;4;46.5;34.6;12.5;13.2;18.3;106.0;21.4;85.1;20.1;81.2;92.8;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;9.04;18.65;14.77;121.77;106620.85
3470.0;Actenoides monachus;Alcedinidae;Coraciiformes;AVIBASE-26AD22E0;14;7;7;0;4;52.1;39.2;13.1;15.0;22.4;140.4;27.0;114.7;19.1;110.9;150.0;Updated_literature;BoW;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-3.57;1.76;-0.48;121.59;72249.86
3472.0;Actenoides princeps;Alcedinidae;Coraciiformes;AVIBASE-C0B45D6E;19;7;12;0;4;45.1;33.2;11.8;13.1;19.4;113.1;25.6;86.1;23.0;88.5;105.0;Updated_literature;Dunning (2021);NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-5.53;1.71;-1.3;121.08;100980.44
3473.0;Actenoides regalis;Alcedinidae;Coraciiformes;AVIBASE-558D8C00;2;1;1;0;0;48.0;33.2;11.8;13.1;19.4;115.0;25.6;86.1;23.0;96.5;105.0;EltonTraits_Model;;YES;"Beak Nares; Beak Width; Beak Depth; Tarsus Length; Kipp's Distance; Secondary1; Hand-Wing Index";Actenoides princeps;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-4.48;-1.92;-3.11;121.53;19210.35
3441.0;Alcedo atthis;Alcedinidae;Coraciiformes;AVIBASE-9505E03D;12;2;4;6;4;42.2;32.5;5.7;7.4;9.9;73.3;19.3;52.6;26.9;32.3;31.1;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-10.94;61.16;39.55;74.25;24992154.31
